V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
4.78;114.12
4.8;122.94
4.82;127.1
4.84;134.3
4.86;152.6
4.88;173.63
4.9;196.91
4.92;225.64
4.94;280.92
4.96;317.24
4.98;472.69
5;724.62
5.02;977.62
5.04;1130.43
5.06;1127.95
5.08;974.25
5.1;722.57
5.12;455.03
5.14;252.58

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-177.6
0.02;-174.2
0.04;-171
0.06;-168
0.08;-165
0.1;-162
0.12;-159.3
0.14;-156.9
0.16;-154.4
0.18;-152.3
0.2;-150.6
0.22;-148.2
0.24;-146.3
0.26;-144.8
0.28;-142.9
0.3;-141.5
0.32;-140.2
0.34;-138.5
0.36;-137.3
0.38;-136
0.4;-134.6
0.42;-133.3
0.44;-132.2
0.46;-131.2
0.48;-130
0.5;-129.1
0.52;-128
0.54;-127.2
0.56;-126.1
0.58;-125.2
0.6;-124.5
0.62;-123.4
0.64;-122.6
0.66;-121.5
0.68;-121
0.7;-120.1
0.72;-119.2
0.74;-118.4
0.76;-117.7
0.78;-117.1
0.8;-116.4
0.82;-115.5
0.84;-114.9
0.86;-114.2
0.88;-113.6
0.9;-112.9
0.92;-112.3
0.94;-111.6
0.96;-111
0.98;-110.6
1;-109.8
1.02;-109.3
1.04;-108.7
1.06;-108
1.08;-107.4
1.1;-106.8
1.12;-106.2
1.14;-105.9
1.16;-105.3
1.18;-104.6
1.2;-104.1
1.22;-103.7
1.24;-103.2
1.26;-102.5
1.28;-101.9
1.3;-101.5
1.32;-100.9
1.34;-100.5
1.36;-99.8
1.38;-99.3
1.4;-98.8
1.42;-98.4
1.44;-97.9
1.46;-97.5
1.48;-96.8
1.5;-96.4
1.52;-96.1
1.54;-95.7
1.56;-95.3
1.58;-94.9
1.6;-94.2
1.62;-93.8
1.64;-93.4
1.66;-92.9
1.68;-92.5
1.7;-92
1.72;-91.6
1.74;-91.3
1.76;-90.8
1.78;-90.3
1.8;-89.9
1.82;-89.5
