,,,,,,,,,,,,,,,,,,5.35,-220.1,,5.35,-220.2,,5.35,-220.1,,3.4,76.9,,3.4,76.7,,3.4,76.8,
,,,,,,,,,,,,,,,,,,5.4,-224,,5.4,-224.2,,5.4,-223.8,,3.45,75.7,,3.45,75.5,,3.45,75.9,
,,,,,,,,,,,,,,,,,,5.45,-227.4,,5.45,-227.5,,5.45,-227.3,,3.5,74.6,,3.5,74.4,,3.5,74.6,
,,,,,,,,,,,,,,,,,,5.5,-230.4,,5.5,-230.5,,5.5,-230.2,,3.55,73.4,,3.55,73.1,,3.55,73.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,72.1,,3.6,72,,3.6,72.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65,71,,3.65,70.7,,3.65,71,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,69.7,,3.7,69.5,,3.7,69.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,68.4,,3.75,68.2,,3.75,68.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,67.2,,3.8,66.9,,3.8,67.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,65.7,,3.85,65.6,,3.85,65.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,64.4,,3.9,64.1,,3.9,64.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,63,,3.95,62.7,,3.95,63,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,61.6,,4,61.2,,4,61.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,60,,4.05,59.6,,4.05,59.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,58.4,,4.1,58,,4.1,58.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,56.6,,4.15,56.4,,4.15,56.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,54.9,,4.2,54.7,,4.2,54.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,53,,4.25,52.8,,4.25,53.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,51,,4.3,50.7,,4.3,51,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,49,,4.35,48.7,,4.35,49.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,46.7,,4.4,46.5,,4.4,47,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45,44.4,,4.45,44,,4.45,44.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,42,,4.5,41.6,,4.5,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,39.2,,4.55,38.7,,4.55,39.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,36.1,,4.6,35.8,,4.6,36.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65,32.7,,4.65,32.3,,4.65,32.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,29,,4.7,28.4,,4.7,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,24.8,,4.75,23.9,,4.75,24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,19.6,,4.8,18.4,,4.8,19.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85,12.7,,4.85,11.8,,4.85,12.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,3,,4.9,2.9,,4.9,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,-9.4,,4.95,-11.6,,4.95,-9.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-32.4,,5,-37.2,,5,-31.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05,-133.3,,5.05,-138.4,,5.05,-137.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,-175.4,,5.1,-175.9,,5.1,-177,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15,-191.2,,5.15,-191,,5.15,-191.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,-201.7,,5.2,-201,,5.2,-202,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,-208.9,,5.25,-208.2,,5.25,-209.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,-214.7,,5.3,-213.8,,5.3,-215.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35,-219.2,,5.35,-218.3,,5.35,-219.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,-223.1,,5.4,-222.4,,5.4,-223.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45,-226.2,,5.45,-225.9,,5.45,-227,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,-229.3,,5.5,-228.9,,5.5,-229.9,
