V [mL];0.1 M NaOH TitrationEQP1 E
1.8;16.81
2;16.18
2.2;15.2
2.4;14.29
2.6;13.56
2.8;13.15
3;13.56
3.2;13.37
3.4;12.95
3.6;13.16
3.8;12.92
4;12.84
4.2;12.65
4.4;12.81
4.6;13.2
4.8;13.5
5;13.31
5.2;13.83
5.4;14.91
5.6;15.62
5.8;16.38
6;17.65
6.2;19.8
6.4;21.54
6.6;23.63
6.8;27.11
7;33.41
7.2;44.67
7.4;67.05
7.5355;97.48
7.6155;126.1
7.695;205.65
7.743;319.86
7.7705;383.15
7.805;488.19
7.825;619.48
7.875;905.42
7.895;1018.29
7.915;867.78
7.935;648.84
7.96;509.37
7.9885;429.63
8.023;280.93
8.0845;172.27
8.1485;123.96
8.2625;82.56
8.398;57.21
8.598;37.35
8.798;27.31
8.998;21.34
9.198;17.45

V [mL];0.1 M NaOH TitrationEQP1 E
0;-183.9
0.5715;-135.1
0.857;-124.7
1;-120.5
1.2;-114.9
1.4;-109.7
1.6;-107
1.8;-104.4
2;-100.2
2.2;-96.2
2.4;-94.5
2.6;-90.4
2.8;-87.8
3;-85.8
3.2;-82.7
3.4;-79.6
3.6;-77.1
3.8;-75.1
4;-71.5
4.2;-69.3
4.4;-66.6
4.6;-63.7
4.8;-60.9
5;-58.1
5.2;-55
5.4;-51.8
5.6;-48.6
5.8;-44.3
6;-41.1
6.2;-36.4
6.4;-31.8
6.6;-25.7
6.8;-19.8
7;-10.5
7.147;-2.4
7.2725;7.6
7.3405;15.4
7.3885;22.6
7.4295;29.2
7.477;41.9
7.497;48.9
7.517;58.9
7.537;68.7
7.557;88.3
7.577;124.1
7.597;148
7.617;162
7.637;170.3
7.669;180
7.7055;187.3
7.767;197.3
7.8265;203.2
7.9625;214.4
8.078;220.4
8.278;229
8.478;234.2
8.678;239.9
8.878;242.9
9.078;247
9.278;250.1
9.478;252.3
9.678;255
9.878;257.2
10;258.3

V [mL];0.1 M NaOH TitrationEQP1 dE/dV
1.4;17.41
1.6;17.76
1.8;16.42
2;16.06
2.2;15.84
2.4;15.5
2.6;14.42
2.8;13.72
3;13.4
3.2;13.65
3.4;13.16
3.6;13.56
3.8;13.43
4;13.17
4.2;13.42
4.4;13.78
4.6;13.99
4.8;13.88
5;15.09
5.2;15.54
5.4;16.47
5.6;17.4
5.8;18.94
6;20.15
6.2;22.33
6.4;25.27
6.6;30.4
6.8;40.06
7;56.95
7.147;81.34
7.2725;119.39
7.3405;158.39
7.3885;201.64
7.4295;267.53
7.477;439.02
7.497;518.2
7.517;638.35
7.537;852.77
7.557;1052.23
7.577;1078.77
7.597;830.9
7.617;656.07
7.637;577.25
7.669;417.61
7.7055;273.33
7.767;170.4
7.8265;124.48
7.9625;78.78
8.078;57.49
8.278;36.99
8.478;27.09
8.678;20.99
8.878;18.11
9.078;15.52

V [mL];0.1 M NaOH TitrationEQP1 E
0;-181.1
0.5715;-133.9
0.857;-125.3
1;-119.5
1.1945;-118.2
1.3945;-113.1
1.5945;-108.1
1.7945;-104.4
1.9945;-101.7
2.1945;-98
2.3945;-95.4
2.5945;-92.3
2.7945;-89.7
2.9945;-86.1
3.1945;-84.8
3.3945;-82
3.5945;-79.3
3.7945;-76.4
3.9945;-73.6
4.1945;-71.7
4.3945;-70.5
4.5945;-66.2
4.7945;-63.3
4.9945;-61.7
5.1945;-58
5.3945;-56.8
5.5945;-53.5
5.7945;-50.5
5.9945;-46.8
6.1945;-44
6.3945;-40
6.5945;-35.4
6.7945;-32.1
6.9945;-26.7
7.1945;-19.3
7.3945;-12
7.5945;-2.6
7.738;8.2
7.805;13.5
7.899;26.6
7.9325;34.1
7.954;39.2
7.9865;46.9
8.02;65.5
8.04;76.4
8.06;92.3
8.08;116.4
8.1;140
8.12;157.5
8.14;165.1
8.1895;178.5
8.2305;185.2
8.3115;196.4
8.3795;204
8.47;209.1
8.67;218.7
8.87;226
9.07;232.6
9.27;237.5
9.47;240.9
