V [mL];TRIS A TitrationEQP1 E
3.815;449.9
4.015;452.4
4.215;455.1
4.415;457.9
4.615;460.9
4.815;464.2
5.015;467.9
5.215;472.2
5.415;476.8
5.615;482.4
5.815;489.2
6.015;498.6
6.16;508.1
6.248;516
6.313;523.7
6.363;531.7
6.401;540.4
6.425;547.3
6.447;555.7
6.467;566.8
6.487;583
6.507;605.6
6.527;623.5
6.547;635.3
6.568;644.2
6.594;652.2
6.63;660.1
6.68;668.4
6.744;676
6.839;684.4
6.959;691.9

V [mL];TRIS A TitrationEQP1 dE/dV
0.415;8.44
0.615;8.11
0.815;8.07
1.015;8.14
1.215;8.17
1.415;8.26
1.615;8.48
1.815;8.57
2.015;8.69
2.215;8.9
2.415;9.06
2.615;9.34
2.815;9.7
3.015;10.01
3.215;10.36
3.415;10.79
3.615;11.31
3.815;11.93
4.015;12.65
4.215;13.46
4.415;14.61
4.615;15.87
4.815;17.33
5.015;19
5.215;21.4
5.415;25.22
5.615;31.49
5.815;42.74
6.015;65.04
6.16;95.81
6.248;129.89
6.313;176.62
6.363;249.56
6.401;356.2
6.425;430.19
6.447;515.24
6.467;654.91
6.487;806.53
6.507;825
6.527;682.47
6.547;536.24
6.568;452.83
6.594;367.62

